X,0 (#627E80),1 (#8D5E36),2 (#323D41),3 (#ECDBC1),4 (#292826),5 (#9D9F96),6 (#9F7654),7 (#709496),8 (#38474B),9 (#E1B072),10 (#55371E),11 (#887669),12 (#6A4F33),13 (#8C7051),14 (#676257),15 (#A68C6C),
0 (#627E80),1.000000,1.271591,2.562121,3.212464,3.377345,1.626721,1.078540,1.321872,2.217999,2.212625,2.467550,1.005571,1.732755,1.057959,1.391161,1.368360,
1 (#8D5E36),1.271591,1.000000,2.014895,4.084939,2.656000,2.068523,1.371461,1.680880,1.744272,2.813553,1.940522,1.278675,1.362667,1.201928,1.094032,1.739994,
2 (#323D41),2.562121,2.014895,1.000000,8.230722,1.318183,4.167855,2.763350,3.386795,1.155150,5.669012,1.038326,2.576395,1.478640,2.421758,1.841714,3.505905,
3 (#ECDBC1),3.212464,4.084939,8.230722,1.000000,10.849600,1.974810,2.978531,2.430239,7.125244,1.451880,7.926916,3.194666,5.566413,3.398655,4.469055,2.347674,
4 (#292826),3.377345,2.656000,1.318183,10.849600,1.000000,5.493997,3.642601,4.464416,1.522699,7.472796,1.368704,3.396160,1.949119,3.192321,2.427717,4.621425,
5 (#9D9F96),1.626721,2.068523,4.167855,1.974810,5.493997,1.000000,1.508262,1.230619,3.608066,1.360175,4.014015,1.617708,2.818708,1.721004,2.263031,1.188810,
6 (#9F7654),1.078540,1.371461,2.763350,2.978531,3.642601,1.508262,1.000000,1.225612,2.392201,2.051500,2.661351,1.072564,1.868845,1.141051,1.500423,1.268716,
7 (#709496),1.321872,1.680880,3.386795,2.430239,4.464416,1.230619,1.225612,1.000000,2.931911,1.673857,3.261784,1.314548,2.290480,1.398486,1.838936,1.035169,
8 (#38474B),2.217999,1.744272,1.155150,7.125244,1.522699,3.608066,2.392201,2.931911,1.000000,4.907600,1.112511,2.230356,1.280042,2.096489,1.594351,3.035023,
9 (#E1B072),2.212625,2.813553,5.669012,1.451880,7.472796,1.360175,2.051500,1.673857,4.907600,1.000000,5.459761,2.200366,3.833936,2.340866,3.078117,1.616990,
10 (#55371E),2.467550,1.940522,1.038326,7.926916,1.368704,4.014015,2.661351,3.261784,1.112511,5.459761,1.000000,2.481297,1.424062,2.332368,1.773734,3.376498,
11 (#887669),1.005571,1.278675,2.576395,3.194666,3.396160,1.617708,1.072564,1.314548,2.230356,2.200366,2.481297,1.000000,1.742408,1.063853,1.398911,1.360779,
12 (#6A4F33),1.732755,1.362667,1.478640,5.566413,1.949119,2.818708,1.868845,2.290480,1.280042,3.833936,1.424062,1.742408,1.000000,1.637828,1.245546,2.371033,
13 (#8C7051),1.057959,1.201928,2.421758,3.398655,3.192321,1.721004,1.141051,1.398486,2.096489,2.340866,2.332368,1.063853,1.637828,1.000000,1.314948,1.447669,
14 (#676257),1.391161,1.094032,1.841714,4.469055,2.427717,2.263031,1.500423,1.838936,1.594351,3.078117,1.773734,1.398911,1.245546,1.314948,1.000000,1.903610,
15 (#A68C6C),1.368360,1.739994,3.505905,2.347674,4.621425,1.188810,1.268716,1.035169,3.035023,1.616990,3.376498,1.360779,2.371033,1.447669,1.903610,1.000000,
